author,exclusive,ingredients,master,num_tried,picture,rating,title
小至_,True,"牛排,海盐,苦苣,小番茄",True,116,True,7.4,橄榄油煎牛排
玉池桃红,False,"包菜,胡萝卜,洋葱,青椒,黄瓜,圣女果,蒜,盐,橄榄油",True,113,True,8.1,黑胡椒牛排饭
Amanda曼达,False,"牛骨,胡萝卜,蒜,香叶,洋葱,西芹,百里香,迷迭香,橄榄油,黑胡椒,海盐,迷迭香,黄油,红酒,蒜头,黑胡椒",True,114,True,8.3,【曼达小馆】新手也能完美复刻的米其林级低温牛排
花园路一姐,True,"牛排,黑胡椒,橄榄油,黄油,盐,大蒜",False,112,True,7.3,超简单牛排做法
StevenXu,False,"橄榄油,现磨胡椒,洋葱,清酒",False,107,True,8.2,牛排饭
Sunny_Kreglo,False,"黑胡椒,盐,橄榄油",True,107,True,8.5,【健康三餐】铸铁锅煎各种牛排方法和经验
食咖,False,"橄榄油,海盐",False,107,True,7.9,肉眼牛排煎法
Together___,True,"黑胡椒酱,海盐,黑胡椒碎,迷迭香,橄榄油",False,298,True,8.0,香煎西冷牛排
ケロログンソ,True,"牛排,洋葱,牛油,黑胡椒,菜油,黑胡椒,盐",False,297,False,8.3,煎牛排不老的诀窍(无需烤箱)
Amanda曼达,False,"欧芹,迷迭香,百里香,蒜头,盐,牛排,橄榄油,粗盐,芦笋,番茄",True,256,True,7.8,【曼食慢语】西冷牛排配香草黄油
凯特猫菲娅,True,"无花果,红酒,砂糖,蜂蜜,肉桂粉,丁香",True,253,True,8.7,热烤无花果佐红酒肉桂糖蜜（可作牛排配菜）
沐音血恋,False,"牛排,油,生抽,胡椒粉,盐,老抽",False,241,False,7.7,煎牛排
随心煮意,False,"牛排,黑胡椒碎,橄榄油,黄油,红酒,盐,土豆,西兰花,小西红柿",False,233,True,7.9,黑椒牛排
小羽私厨,True,"牛排,橄榄油,盐,黑胡椒,迷迭香",True,230,False,6.7,西冷牛排
哭逼留学生,False,"牛油,蒜瓣",False,219,True,7.6,超详细！锅煎牛排顶级教程
yanyanfoodtube,False,"盐,黑胡椒,橄榄油",True,210,True,8.2,澳洲牛排 Steak
丁扁扁,False,"牛排,黑胡椒粉,盐",False,208,False,7.6,煎牛排
慧心荷韵,False,"牛排,洋葱,西兰花,食盐,黑胡椒粉,白糖,黄油,番茄酱,蚝油",False,191,False,7.4,红酒黑胡椒牛排
可甜可盐小超人,False,"鸡胸肉,盐,酱油,黑胡椒,生粉",False,169,True,8.0,无油超嫩鸡胸肉（堪比牛排）
大AAA酱,True,"蘑菇,蒜,黄油,现磨胡椒,海盐,橄榄油",False,176,True,7.7,惠灵顿牛排
薇罗琪卡,False,"牛排,鸡蛋,意大利面",False,172,True,8.1,菲力牛排套餐
超小清,False,"牛排,土豆,黄油,葱花,西兰花",False,147,True,7.9,煎牛排
日食记,False,"黄油,番茄,海盐,黑胡椒,芦笋",True,139,True,7.8,【西冷牛排】
豆牛,False,"牛排,黑胡椒,五香粉,蚝油,白糖,酱油,洋葱,西红柿",False,137,False,8.1,黑胡椒烤牛排
德普烘焙实验室,True,"牛扒,黑胡椒,食盐,黄油",False,134,True,6.9,#视频#德普烤箱食谱：烤牛排
知味人生_知味,False,"红酒,黑胡椒,耗油,盐,糖,土豆,洋葱,西红柿,生菜",True,123,False,7.9,酒香黑椒烤牛排
Amanda曼达,False,"甜椒,秋葵,葱白,洋葱,蒜头,味啉,清酒,柠檬汁,米醋,橄榄油,粗盐,米饭",True,122,False,7.9,【曼食慢语】日式牛排丼
清风徐来-8,False,"牛排,黑胡椒,洋葱,西红柿,红酒,盐",True,8751,True,7.9,黑椒牛排
丙等星,False,"牛排,盐,黑胡椒粉,油,黄油,红酒",False,7083,True,8.2,顶级牛排
牛小排yummy,True,"牛排,橄榄油,盐,黑胡椒,蔬菜",False,3057,False,7.7,黑椒牛排
翠小花子,True,"大蒜,牛油,盐,黑胡椒",False,2567,True,7.6,好吃到哭的煎牛排
牛奶少女丶,True,"牛排,油,海盐",True,1605,True,7.8,四分钟煎好一块鲜嫩多汁的牛排
刘小福,False,"食用油,盐,黑胡椒",False,1503,True,7.9,完美牛排-米其林大厨的煎牛排方法
梅子,False,"牛排,芝麻油,盐,黑胡椒粉",False,1114,False,7.8,煎牛排
zankl,False,"牛排,黑胡椒碎",False,849,True,8.0,教你煎出最原汁原味的牛排
想要一整天都待在厨房,False,"牛排,黑胡椒酱,蒜片",False,895,False,7.8,黑胡椒牛排
蓝冰滢,True,"牛排,洋葱,大蒜,百里香,黄油,橄榄油,海盐,黑胡椒,口蘑,盐,西兰花,红酒",False,558,False,7.8,洋葱煎牛排
外科医生的周末厨房,False,,False,441,True,8.6,煎一块好牛排，你需要知道的一切
labrador,False,"牛排,橄榄油,黑胡椒,粗盐,大蒜,黄油,柠檬",False,509,True,8.1,简单牛排
坐隐（三什）,False,"牛排,蔬菜,黑胡椒碎,盐,橄榄油",False,483,False,7.3,黑椒牛排
安琪的小饭桌,False,"里脊肉,黑胡椒粉,蒜末,黄油,意大利面,鸡蛋,生抽,蚝油,番茄酱,黑胡椒粉,清水",False,474,True,8.1,黑胡椒牛排（菲力牛排）—附黑胡椒汁的做法
丁丁党,False,"牛排,盐,黄油",False,386,True,8.1,不会出错的牛排！附酱汁做法～
喃猫,False,"牛肉,黄油,黑胡椒,盐",True,351,True,7.9,如何在家煎牛排
Daisy-28,False,"牛排,黑胡椒,盐,黄油",False,322,False,7.5,经典牛排
FantasyHQ,False,"牛排,料酒,酱油,黑胡椒粉,盐,洋葱",False,318,False,7.3,懒人烤牛排
半日_雪,True,橄榄油,True,316,True,7.4,在家享受西餐厅的美味煎牛排
味蕾共和国,True,"黑胡椒,盐,橄榄油,黄油",False,273,True,7.8,厚切菲力牛排做法
哥俩好,False,"牛腩,大蒜,生姜,花椒,生抽,料酒",False,132,False,8.0,萝卜焖牛腩
日食记,False,"牛腩,蒜片,啤酒,香叶,黑胡椒,盐",True,123,True,8.3,【啤酒牛腩煲】
馨怡煮香香,False,"牛腩,番茄,生姜,芹菜,香叶,桂皮,山楂,料酒",False,130,True,7.7,番茄牛腩汤
木可厨房,False,"牛腩,胡萝卜,土豆",False,127,False,7.7,咖喱牛腩
Sailorwill,False,"牛腩,柱侯酱,南乳,花生酱,姜,葱,料酒,生抽,老抽,陈皮,八角,桂皮,干辣椒,香叶",False,126,True,7.9,广式牛腩
jaja~,True,"牛腩,白萝卜,姜片,葱段,花椒,八角,草果,香叶,陈皮,甘草,桂皮",False,115,True,7.3,清汤牛腩
三刻321cooking,True,"小土豆,葱花",True,110,True,8.2,西红柿炖牛腩【食材包操作说明】
杨猫,False,"牛腩,土豆,葱,姜,花椒,干红椒,八角,香叶",False,107,False,7.9,土豆炖牛腩
晴天小超人,False,"牛腩,西红柿,葱姜,香叶,花椒,桂皮,料酒,盐",True,105,True,8.0,操作简单又开胃的番茄牛腩煲
小容儿MM,False,"牛腩,白萝卜,豆瓣酱,蚝油,老抽,生抽,白糖,料酒,葱,姜,蒜",False,104,True,8.2,高压锅版萝卜牛腩
kokoliu,False,"西红柿,牛腩,红酒,姜,盐",False,100,True,7.9,（无油懒人版）番茄牛腩
raccoon,False,"牛腩,番茄,洋葱,干辣椒,姜,葱,料酒,生抽,老抽,糖,盐,八角",False,239,False,8.5,番茄牛腩（电压力锅版）
囡囡的囡,False,"白萝卜,姜,蒜,八角,生抽,料酒,油,盐",False,224,True,7.9,萝卜烧牛腩
日食记,False,"白洋葱,土豆,胡萝卜,西蓝花,咖喱块,姜,香叶,料酒,食用油",True,224,True,8.2,【咖喱牛腩拌饭】
阿修罗老巫婆,True,"白萝卜,姜葱,茴香,料酒,盐,酱油,冰糖",True,223,True,7.9,萝卜牛腩（高压锅版）
绿野仙踪olivia,False,"白萝卜,大葱,姜片,黄酒,八角,盐",False,223,True,8.0,清炖白萝卜牛腩汤
小潺zh,False,"牛腩,胡萝卜,土豆,洋葱,姜片,生抽,老抽,盐,鸡精",False,219,True,7.9,胡萝卜土豆炖牛腩
宅与路上,False,"牛腩,豆瓣酱,八角,桂皮,花椒,生姜,洋葱,大蒜,干辣椒,黄酒,老抽,生抽,冰糖,盐",True,209,True,8.6,可以吃一辈子的红烧牛腩
大饼小葱的家,False,"西红柿,牛腩,蒜,香菜,油,盐,味精",False,206,True,7.9,西红柿炖牛腩
地瓜的味道生活,False,"牛腩,胡萝卜,生姜,大葱,香叶,桂皮,陈皮,草果,八角,干辣椒,冰糖,老抽,豆瓣,香菜",True,187,False,7.7,胡萝卜炖牛腩
美食情书,False,"牛腩,土豆,胡萝卜,香菜,盐,料酒,姜片,葱段,酱油,胡椒粉",False,184,False,7.8,土豆牛腩煲
宅与路上,False,"牛腩,葱,姜,蒜,干辣椒,桂皮,花椒,八角,草果,陈皮,小茴香,生抽,老抽,豆瓣酱,料酒",True,170,True,8.1,焖牛腩
