author,exclusive,ingredients,master,num_tried,picture,rating,title
啊呜511,True,"小番茄,土豆,洋葱,蒜瓣,橄榄油,罗勒碎,盐,黑胡椒",True,485,True,8.2,脆皮罗勒烤鸡腿
冷琴,True,"面粉,料酒,面包糠,黑胡椒粉,盐,酱油,生姜",False,509,True,7.6,脆皮炸鸡腿
83小钟,False,"板栗,辣椒,花椒,桂皮,姜,盐,料酒,糖,酱油,胡椒粉",False,504,True,8.1,板栗烧鸡腿
♛厨房里的天使♛,False,"鸡腿,可乐,老抽,盐,葱,姜",False,483,True,7.6,可乐鸡腿
我的工作午餐,True,"盐,蜂蜜,开水,料酒,耗油,生抽",False,424,True,7.4,照烧蒜香版鸡腿饭的做法
糯米jlxy,True,"鸡腿,米饭,青菜,鸡蛋,清水",True,422,True,8.2,简单的香煎鸡腿盖浇饭
yanyanfoodtube,False,"料酒,淀粉",True,421,True,8.1,辣炒鸡腿肉 Spicy Fried Chicken
紫箫萱月,False,"鸡腿菇,猪肉,青椒,干辣椒,姜末,葱花",False,419,False,7.8,鸡腿菇炒肉
浓淡相宜Gar,True,"鸡腿,蚝油,大蒜,生抽,冰糖,料酒",True,415,True,8.5,蚝油鸡腿
卢包囧包包幻想不停歇,False,"鸡腿肉,干香菇,小土豆,青椒,老抽,生抽,生粉,料酒,糖,盐,干辣椒,干花椒",False,411,False,7.9,土豆香菇炖鸡腿
vicky厨房,True,"鸡腿,香葱,料酒,姜片,盐,油,生抽,蒸鱼豉油",False,392,True,7.9,葱油鸡（鸡腿可以这样吃快手菜）
孙大爷的小吃部,False,"鸡腿,葱,姜,蒜,生抽,老抽,蚝油,干辣椒,花椒,冰糖,料酒,水",False,385,True,8.2,懒人版大鸡腿￨做法超级简单
八卦兔JadeCw,False,"咖喱块,胡萝卜,黄瓜,西兰花",True,404,True,8.1,咖喱鸡腿卷
霞--84,False,鸡腿,False,394,True,8.1,烤鸡腿
伊斯特艾格,True,"鸡腿肉,酱油,酒,水,糖",True,384,True,7.8,简单快手照烧鸡腿饭
蔡_小菲,False,"鸡腿,土豆,胡萝卜",False,384,True,8.0,鸡腿炖土豆超级快手菜
君之,False,"高筋面粉,低筋面粉,水,细砂糖,盐,橄榄油,白芝麻,蒜,姜,黑胡椒粉,辣椒粉,细砂糖,豆瓣酱,生抽,米酒,清水,生菜,沙拉酱,番茄酱",True,384,True,8.3,无双烤鸡腿堡
小蓓-14,False,洋葱,False,374,True,8.1,照烧鸡腿
懒饭App,False,"米饭,蒜,盐,蚝油,蜂蜜,水",True,374,True,8.2,蒜香蜂蜜鸡腿饭
爱在厨房DiY,True,"鸡蛋,淀粉,油,面包糠,面粉,生姜,料酒,盐,生抽,孜然粉,辣椒粉,黑胡椒粉,水",False,363,True,7.8,面包糠炸鸡腿（可以和肯德基相媲美的炸鸡腿）
君之,False,"酱油,甜面酱,糖,五香粉,姜粉,麦芽糖,水",True,1135,True,7.7,蜜汁酱烤鸡腿
__Yuan,False,"鸡腿,食盐,土豆,洋葱,大蒜,老抽,生抽,料酒,黑胡椒,蜂蜜",False,1105,True,7.7,脆皮烤鸡腿
莎莎美食厨房,False,"鸡腿,西兰花,料酒,酱油,白糖,盐",False,864,False,8.1,吉野家风味煎鸡腿
BenSandy,True,"鸡腿,白胡椒粉,酱油,料酒,蜂蜜,生抽,芝麻",False,887,False,7.7,照烧鸡腿
olivia85,True,"鸡腿,生抽,老抽,料酒,糖,盐,土豆",True,858,True,7.9,蜜汁烤鸡腿
83小钟,False,"葱,姜,料酒,醋,生抽,白糖,盐,红油",False,816,True,8.1,口水鸡腿
