author,exclusive,ingredients,master,num_tried,picture,rating,title
yanyanfoodtube,False,"豆渣,胡萝卜,鸡蛋",True,100,True,7.7,香煎豆渣饼 Sautéed Dofu with Spring Onion
懂饿氏_紫不語,False,"豆渣,普通面粉,牛奶,鸡蛋,白胡椒粉,盐",False,100,True,7.9,奶香豆渣饼
小白素食记录,False,"豆渣,酵母,温水,红糖,面粉",True,239,True,8.1,黑麦豆渣红糖馅饼
伊朶❤°,False,"鸡蛋,植物油,豆渣,低筋面粉,糖,盐,泡打粉",False,236,True,7.1,豆渣麦芬。
爱念,False,"豆渣,面粉,鸡蛋,盐,葱末",False,233,True,7.4,豆渣饼
summer的家,False,"黄豆,糯米粉,白糖",False,224,False,7.7,豆浆豆渣饼
惠妈妈hui,True,"豆渣,糯米粉,低筋面粉,细砂糖",True,193,True,7.9,胡萝卜豆渣饼
nicklove901030,False,"豆渣,橄榄油",False,169,False,6.8,豆渣蛋糕<中岛老师烘焙室>
浪漫春天,True,"中粉,白糖",True,162,True,8.1,豆渣馒头
秀外慧中胖妹子,True,"面粉,全麦粉,豆渣,白糖,酵母,水",True,140,False,8.0,变废为宝——豆渣全麦馒头
心悦素食,False,"面粉,豆渣,红糖,水",False,135,True,8.3,豆渣好去处--红糖豆渣馒头
烟火间,False,"豆渣,糯米粉,盐,食用油,红糖,水,糖桂花",True,127,True,7.7,豆渣糖不甩
crysply,True,"鸡蛋,胡萝卜,香葱,木耳,淀粉,盐,黑胡椒粉",False,127,True,7.6,人见人爱好吃香喷喷的豆渣饼🤭🤭🤭
百合-81,True,"中筋面粉,糖,鸡蛋,盐,牛奶",True,126,True,8.0,黑豆渣发糕
南半球的小猫,False,"豆渣,黑芝麻粉,牛奶,细砂糖,盐,泡打粉",True,126,True,8.2,黑芝麻豆渣馒头
馨月,False,"低筋面粉,豆渣,土鸡蛋,绵白糖,玉米油,柠檬汁",True,123,False,7.3,豆渣蛋糕
Joan,False,"豆渣,鸡蛋,洋葱,红萝卜,黄瓜,葱末,盐,鸡精",False,121,False,7.7,蛋炒豆渣
木易炊烟,True,"豆渣,红糖",False,118,True,8.4,豆渣糯米粑粑
金山茶,False,"面粉,豆渣,酵母,牛奶,盐,糖",False,114,False,7.9,豆渣馒头
我很家常,True,"豆渣,面粉,水,油,盐",True,110,True,8.4,豆渣烙饼
风中彩虹,False,"玉米面,蜜豆,白糖",False,103,True,7.9,豆渣蜜豆小窝头
美熊熊V,True,"豆渣,绵白糖,糯米粉",True,102,True,8.4,松软香糯的豆渣糯米饼🥞
apple爱自己,False,"豆渣,玉米粉,盐,白胡椒粉,鸡蛋,红椒,芹菜",False,1255,True,7.8,豆渣饼
烟火间,False,"普通面粉,白砂糖,水",True,806,True,8.1,豆渣窝窝头
烟火间,False,"豆渣,胡萝卜,葱花,鸡蛋,面粉,盐,胡椒粉",True,639,True,8.0,胡萝卜豆渣小丸子
李妙生,True,"豆渣,面粉,鸡蛋,盐,黑胡椒",True,578,False,7.4,豆渣小饼
小蕙的厨房,False,"豆渣,鸡蛋,面粉,葱,盐",False,573,True,7.7,豆渣蛋饼
小白素食记录,False,"豆渣,生抽,红糖",True,546,False,7.7,豆渣变身豆松
盘子会唱歌,False,"豆渣,生抽,鱼露,白糖,食用油",False,511,True,7.7,豆渣版素肉松
83小钟,False,"豆渣,鸡蛋,青椒,红椒,盐,蚝油",False,511,True,7.6,素炒豆渣
麋鹿的迷路,False,"糖,色拉油",False,425,True,8.1,秒杀一切的最柔软细腻豆渣蛋糕
侥幸的鱼,False,"豆渣,低筋面粉,鸡蛋,盐,糖,葱花",False,422,False,7.6,豆渣饼
WantingSu,True,"蛋黄,豆渣,植物油,低粉,蛋白,细砂糖",True,415,True,7.4,豆渣蛋糕
Kanaho,False,"酸奶,砂糖,鸡蛋",False,399,True,6.6,免烤微波炉无油无低粉豆渣蛋糕
jam222,False,"紫薯,黄豆,清水",False,344,True,7.8,低卡紫薯豆浆/豆渣新吃法
ailee,False,"豆渣,低筋面粉,糖,油",False,313,False,6.5,豆渣饼干
狗尾巴草,False,"黑豆,面粉,火腿肠,鸡蛋,葱花",False,312,True,7.6,黑豆浆+葱花豆渣饼
海燕的手艺,True,"高筋面粉,白砂糖,奶粉,酵母,盐,水,黄油,抹茶粉",True,303,True,8.1,抹茶双色豆渣面包
团团maru,False,"豆渣,鸡蛋,糖,面粉",False,283,True,7.5,七分钟用微波炉做芝麻豆渣蛋糕
2宝~妈,False,"高粉,豆渣,盐,糖,鸡蛋,酵母,黄油",False,272,True,7.6,豆渣面包
金山茶,False,"豆渣,面粉,鸡蛋,牛奶,盐,油",False,267,True,7.2,豆渣鸡蛋饼
子目茜兮,False,"高筋面粉,豆渣,盐,糖,鸡蛋,酵母,黄油",False,248,False,7.3,豆渣吐司
爱烘焙的露,True,"豆腐干,芹菜,辣椒,盐,鸡精,姜末,蒜末",True,100,True,8.0,香干芹菜
pescetarian,False,"马兰头,芝麻油,盐巴,白砂糖",False,145,False,8.2,香干马兰
小夕很烦躁,False,"西芹,花椒粒,干红椒,盐,鸡精,味精,食用油",False,141,False,6.9,西芹香干
幸福-Apple,False,"五花肉,香干,植物油,姜,盐,生抽",False,139,True,7.3,香干回锅肉
粽子大人,True,"香干,猪肉,青红椒",True,131,True,7.6,香干炒肉
MS--F,False,"桂皮,干辣椒,茴香,老抽,生抽,料酒",False,132,True,8.0,五香卤豆腐干
坐隐（三什）,False,"辣椒,姜片,老抽,盐,糖",False,129,False,7.7,青椒炒白干子
apple爱自己,False,"豆腐干,可乐,香菜,葱,生抽,老抽,料酒,盐",False,125,True,7.4,可乐豆腐干
葉子的爱与厨房,False,"豆腐干,食用油,老抽,冰糖,八角,盐,白芝麻,水",True,121,True,8.0,蜜汁小三角豆干
蜜柚小姐姐,False,"韭菜,豆腐干,尖椒,盐",False,122,True,6.9,韭菜豆腐干
宅与路上,False,"豆腐干,八角,桂皮,香叶,花椒,小茴香,丁香,豆蔻,葱,姜,蒜,冰糖,盐,生抽,老抽,辣椒酱",True,120,True,7.9,香卤兰花豆腐干
Smile玲,False,"豆腐干,辣椒粉,芝麻,盐,八角,桂皮,芝麻油,大蒜,生姜",False,117,True,7.6,湖南涟源麻辣豆腐干
童童童's,False,"五花肉,香干,青椒,蒜苗,郫县豆瓣,盐,花椒,鸡精",False,114,False,7.7,香干回锅肉
璇花是大脸喵,False,"大葱,红油,酱油,醋,白糖,花椒粉",False,112,False,7.2,凉拌豆腐干
敖羽星,True,"毛豆,豆干,生姜,干辣椒,盐,生抽,味精,食用油",True,111,True,8.3,姜米香干炒毛豆
小白素食记录,False,"豆腐干,尖椒,胡萝卜,木耳,生姜,盐,糖,生抽",True,111,True,7.9,家常小炒豆干
kora1992,False,"大蒜,姜,豆瓣酱,香干",False,109,False,7.9,大蒜炒香干
瑾宁妈妈,True,豆干,False,106,True,8.3,麻辣豆干
jue,True,"芹菜,猪里脊,香干,生抽,料酒,胡椒,水淀粉,鸡粉,盐",True,106,False,7.7,芹菜炒肉丝香干
茹颖随信,False,"豆干,青椒",False,103,False,7.3,豆干炒青椒
80后男人的厨房,False,"香干,油,盐,酱油,干辣椒,鸡精",False,101,True,8.0,韭菜苔炒香干
洛凡-lola,True,"四季豆,肉末,蒜,姜,生抽,盐,糖",True,286,False,8.1,肉末豆干炒四季豆
lindienne,True,"香干,马兰,香油,盐,酱油,味精",False,281,False,8.0,马兰头拌香干
冇伱灬冇我,True,"八角,桂皮,香叶,油,冰糖,生抽,老抽,盐,白糖,生粉",True,276,True,8.4,蜜汁豆干
成都娃洋洋,False,"芹菜,香干,豆瓣,生抽,盐",False,276,False,7.8,芹菜香干
小羽私厨,True,"芹菜,香干,盐,料酒,生抽",True,275,False,7.0,芹菜炒香干
烟火间,False,"酱油,冰糖,八角,桂皮,食用油",True,255,True,8.4,蜜汁豆干
快乐芹菜,False,"豆腐干,香菜,生抽,白糖,醋,姜末,香油",False,232,True,7.7,豆腐干拌香菜
小雲-1,True,,True,214,True,7.6,豆腐干(香干)炒肉
简单煮意,False,"榨菜,猪肉,葱,姜,干淀粉,料酒,生抽,白糖",False,201,False,7.8,榨菜香干炒肉丝
大脸猫koko,False,"香干,猪肉,姜,蒜,葱,生抽",False,191,True,7.8,香干辣椒炒肉~  真的好吃爆了
无敌小兔妞,True,"青椒,香干,香葱,蒜,豆瓣酱,生抽,剁椒,盐,香油",True,190,False,7.1,青椒炒香干
小白素食记录,False,"香油,桂皮,八角,白糖或冰糖,老抽,生姜",True,189,True,8.2,兰花豆腐干
小小H,True,"豆腐干,酱油,芝麻油,糖,葱",True,184,True,7.7,豆腐干的朴素吃法
一木甜家SoSweet,True,"蒜薹,香干,生抽,老抽,糖",True,180,False,7.6,蒜薹香干（蒜苔）
李小厨的美食部落,False,,False,180,True,7.2,川味家常豆干
希洛大大大大人,True,"瘦肉,姜丝,青蒜,生抽,红椒",True,176,False,7.3,酱香干炒肉
哼哼。,False,"大蒜,姜,香干,小红椒,水淀粉,葱,盐,鸡精",False,168,False,7.4,青椒炒香干
Bill-Lee,False,"青椒,猪肉,干辣椒,香干,姜",False,162,True,7.3,香干炒肉
小白素食记录,False,"香干,辣椒粉,花椒粉,糖,生抽,陈醋,白芝麻",True,158,True,7.6,口水香干
月亮晶晶,False,"香干,盐,鸡精",True,156,True,7.7,水芹菜炒香干
金山茶,False,"芹菜,香干,姜末,蒜末,葱花,花生油,胡椒粉,酱油,盐,鸡精",False,3406,True,7.4,芹菜炒香干
水岸shui,False,"芹菜,豆腐干,食盐,酱油,红尖椒,植物油",False,2010,False,7.2,素菜：芹菜炒豆腐干
小白素食记录,False,"糖,老抽,盐,八角,香油",True,1986,True,8.1,蜜汁豆干
奚姥姥,False,"胡萝卜,青椒,辣豆瓣酱,盐,鸡精",True,1545,False,7.6,青椒豆腐干
鸡蛋花蒋蒋鸡蛋花,True,"香干,榨菜,肉末,生姜,大蒜,尖椒,老干妈油辣椒,生抽,葱花",True,1409,True,8.0,下饭神器---老干妈炒香干
盘子会唱歌,False,"马兰头,盐,糖,生抽,五香粉",False,947,False,7.9,凉拌香干马兰头
junbear,False,"香干,芹菜,瘦肉,辣椒,蒜,姜丝",False,922,True,7.4,芹菜香干炒肉丝
Sunnie珊妮,True,"酱油,冰糖,蚝油,花椒,大料",True,651,True,8.6,苏州蜜汁豆干
salld,False,"韭菜,香干,红椒,生抽,盐,油",False,684,False,7.6,韭菜炒香干
小白菜5毛,False,"大蒜,蚝油,香油,酱油,辣椒,孜然,白芝麻,食用油",False,619,True,8.2,零嘴麻辣干子
小白菜5毛,False,"蚝油,油辣椒,大蒜",False,549,True,8.4,零嘴麻辣香干
会狗刨的猫,False,"青椒,葱花,姜丝,蒜片,耗油,蒸鱼豉油,油,盐,料酒,水",False,484,True,7.6,家常炒豆干
然子,False,"香干,青椒,肉丝,红尖椒,葱姜末,盐,糖",False,471,False,7.3,青椒香干炒肉丝
小厨葡萄,False,"韭菜,香干,食盐",False,426,False,7.7,韭菜炒香干
玉池桃红,False,"香干,胡萝卜,姜,葱,蒜,盐,白糖",True,422,True,7.6,小芹菜炒香干
小喔哩哩的外婆,False,,False,407,False,7.5,青椒豆干炒肉丝
圆猪猪,False,"猪绞肉,毛豆,盐,生抽,鸡精",True,392,False,7.7,肉末毛豆炒香干
梅子厨艺,False,"香干,姜蒜,生抽,豆豉",False,388,True,7.6,攸县香干
海绵可爱的宝宝,False,"豆干,肉丝,青椒,酱油,盐,料酒",False,369,True,7.3,青椒肉丝炒香干
杨猫,False,"芦蒿,香干,盐,鸡精",False,307,False,7.7,芦蒿炒香干
