exclusive,ingredients,num_tried,picture,rating,title
True,"姜,橄榄油,鸡精,盐,白胡椒粉,香菇,金针菇,白玉菇,蟹味菇,口蘑,平菇,娃娃菜,胡萝卜,圣女果",131,True,8.1,三文鱼头菌菇汤
False,"鱼头,剁椒,豆瓣酱,红油辣椒,料酒,盐,葱花",124,True,7.4,剁椒鱼头｜一条视频
False,"南豆腐,姜片,大蒜,香葱段,料酒,盐,蚝油,生抽,老抽,砂糖,白胡椒粉,水",122,False,7.8,红烧鱼头豆腐
False,"葱,姜,生抽,冰糖,八角,料酒,盐",118,False,8.1,砂锅鱼头
False,"姜,蒜头,葱,料酒,醋,生抽,老抽,盐,糖,香菜",111,False,7.7,【曼食慢语】红烧三文鱼头
False,"鱼头,蒜,姜,沸水",107,True,8.1,鱼头汤
False,"剁椒,野山椒,豆豉,香油,料酒,生抽,蚝油,盐,糖,蒜头,姜,葱",268,True,8.8,剁椒鱼头【曼食慢语】
False,,248,True,8.4,红烧鱼头
False,,240,False,8.2,流传已久的太白鱼头汤
False,"大蒜,料酒,蚝油,淀粉,沙茶酱,海鲜酱",209,False,7.9,啫啫三文鱼头煲
True,"小葱,生姜,蒜瓣,干辣椒,料酒,盐",203,True,7.8,葱油鸦片鱼头
False,"葱,姜,蒜,香菜,花椒,大料,干辣椒,食用油,盐,白糖,酱油,醋,黄酒",207,False,8.6,鱼头泡饼
False,"鱼头,葱,姜,蒜",204,True,8.1,剁椒鱼头
False,"香葱,生姜,胡椒粉,黄酒,野山椒,剁椒,香菜,花生油,蒸鱼豉油",203,True,8.5,让人痛快淋漓的湖南特色菜【开胃剁椒鱼头】
True,"大蒜,洋葱,姜片,大葱,料酒,白胡椒粉,生抽,白糖,蚝油,醋,香菜,香葱",178,True,8.1,张亮版砂锅鱼头煲
False,"鱼头,剁椒,料酒,姜片,葱花,油,蒜茸",175,False,8.4,剁椒鱼头
False,"鱼头,豆腐,食用油,蒸鱼豉油,料酒,胡椒粉,盐,糖,葱,姜,蒜,大料,草果,淀粉",175,True,8.0,铁锅鱼头炖豆腐
True,"鱼头,剁椒,生姜,蒜末,糖,鸡精,料酒,胡椒粉,盐",167,True,8.6,正宗湘味剁椒鱼头
True,"豆腐,葱姜,蒜苗,料酒,盐",166,True,7.9,鱼头豆腐汤
False,"盐,料酒,胡椒粉,面粉,玉米油",157,True,7.7,香煎三文鱼头
False,"柠檬,盐,油",145,False,6.9,香煎三文鱼头
