author,exclusive,ingredients,master,num_tried,picture,rating,title
雨鸾,False,"冬瓜,虾皮,葱姜丝,盐,味精,香油,胡椒粉",True,169,False,8.0,虾皮冬瓜汤
冇伱灬冇我,True,"西红柿,鸡蛋,虾皮,油,盐,料酒,葱花,白糖",True,158,True,8.3,虾皮西红柿炒鸡蛋-适合儿童
炸酱草儿,False,"萝卜,虾皮,橄榄油,蚝油",False,154,True,7.5,萝卜虾皮汤
凉小静的食物恋,True,"粘米粉,澄粉,生粉,温水,猪肉末,虾皮,葱末,盐,酱油,油",False,151,True,7.7,虾皮猪肉肠粉
冇伱灬冇我,True,"白萝卜,虾皮,面粉,鸡蛋,盐,白胡椒粉,白糖,葱",True,144,True,8.1,萝卜丝虾皮油墩子
万万,False,"鸡蛋,虾皮,温水",False,141,True,8.2,虾皮鸡蛋羹
teabag,False,"菠菜,鸡蛋黄,虾皮,面粉",False,132,True,7.7,宝宝辅食：菠菜虾皮煎饼（8m+）
蝦子,False,"虾皮,白萝卜,油,盐,花椒",True,127,False,7.6,萝卜丝炒虾皮
坐隐（三什）,False,"西红柿,紫菜,鸡蛋,虾皮",False,117,False,8.7,紫菜西红柿鸡蛋虾皮汤
francisbao,False,"小虾米,面粉,玉米面,小苏打,盐",False,108,True,8.3,油炸小虾米
月亮晶晶,False,"韭菜,虾皮,鸡蛋,食用油,盐,白糖",True,106,False,7.3,虾皮韭菜炒鸡蛋
围裙妈妈-3,False,"圆白菜,虾米皮,盐,油",False,102,False,7.8,虾皮炒圆白菜
Jin小厨一级公共营养师,True,"虾皮,鸡蛋,猪骨汤,西红柿,盐,鸡精,葱",True,101,True,7.7,紫菜虾皮蛋花汤
子狐,True,"冬瓜,虾皮,盐",True,1021,False,7.5,冬瓜虾皮汤
羊子,False,"冬瓜,姜,盐",True,789,False,7.6,虾皮冬瓜
往生花,True,"西葫芦,虾皮,葱花,盐,生抽,鸡精,食用油",True,716,True,7.8,虾皮清炒西葫芦
AMMA,False,"西葫芦,鸡蛋,虾皮,葱花",False,593,True,8.2,西葫芦鸡蛋虾皮饺子
花脸猫喵,True,"冬瓜,虾皮,蚝油,生抽,盐",True,497,True,7.9,虾皮炒冬瓜
Named小小S,True,"豆腐,鸡蛋,虾皮,芝士,蚝油,葱花,酱油",True,496,True,8.6,虾皮芝士焗豆腐（高蛋白快手早餐）
apple爱自己,False,"萝卜,虾皮,葱,盐",False,471,True,7.1,虾皮萝卜丝汤
洛凡-lola,True,"北豆腐,鸡蛋,淀粉,虾皮,葱,蒜,老抽,生抽,蚝油",True,433,True,7.9,虾皮锅塌豆腐 （鲁菜）
泳歌,False,"鸡蛋,盐,猪油,虾皮",True,397,True,8.7,最好吃的虾皮蛋羹
卡农-amanda,False,"虾皮,蚝油,干红椒",False,369,True,7.8,虾皮小油菜
Nicole妈妈Penny,False,"冬瓜,虾皮,葱末,食盐,鸡精",False,335,False,7.9,虾皮冬瓜汤
80后男人的厨房,False,"冬瓜,虾皮,水,葱末,姜末,蒜末,油,花椒,盐,葱花",False,274,False,7.1,清炒冬瓜虾皮
性感的毛毛虫,True,"菠菜,虾米,鸡蛋,盐,葱,蒜",False,241,True,7.9,虾皮菠菜炒鸡蛋
鸡蛋花蒋蒋鸡蛋花,False,"鸡蛋,葱花,香油,生抽,虾皮",True,218,True,7.5,超快手微波炉3分钟虾皮鸡蛋羹
晴天小超人,True,"小白菜,虾皮,油,葱",True,213,False,7.6,虾皮小白菜
往生花,True,"白萝卜,虾皮,葱花,食用油,盐",True,212,True,7.7,虾皮萝卜丝汤
煲汤养生堂,False,"紫菜,虾皮,葱,盐,香油",False,207,True,7.8,虾皮紫菜汤
宝宝营养辅食,False,"虾皮,芝麻",True,192,True,8.8,自制虾皮粉
南半球的小猫,False,"豆腐,猪绞肉,虾皮,葱,姜,蒜,生粉,水淀粉,糖,生抽,白胡椒粉,水,海盐",True,178,True,7.6,虾皮肉末焖豆腐
格格是我的猫,False,"冬瓜,虾皮,盐,花椒,食用油,蚝油,香油,香菜",False,171,True,8.0,虾皮冬瓜汤
summer的家,False,"冬瓜,虾米,香菜,油,清水",False,607,False,7.3,虾米烧冬瓜
虎妈尚菜,False,"海米,冬瓜,盐,料酒,白糖",False,405,False,7.7,海米冬瓜
ving,False,"海米,油菜,葱,姜,蒜,淀粉",False,364,False,8.0,海米油菜
